Gender,Age,Tenure,Phone,Streaming,Unlimited,Charge,Satisfaction,Churn
0,78,1,1,0,1,39.65,3,0
1,74,8,0,1,0,80.65,3,0
0,71,18,0,1,0,95.45,2,0
1,78,25,0,1,0,98.5,2,0
1,80,37,0,1,0,76.5,2,0
1,72,27,0,1,1,78.05,1,0
1,76,1,0,1,0,70.45,2,0
0,66,58,1,0,0,45.3,1,0
1,70,15,0,1,0,74.45,2,0
1,77,7,0,1,1,76.45,2,0
1,78,11,0,0,1,95,1,0
0,65,15,0,1,0,74.4,1,0
0,77,1,1,1,0,40.2,2,0
0,67,3,1,1,0,41.15,2,0
0,68,13,0,0,1,106.9,1,0
1,68,16,0,0,0,94.45,1,0
0,66,8,0,1,0,74.5,2,0
0,69,24,0,1,0,76.1,2,0
1,74,4,0,0,0,95.45,3,0
0,76,32,0,1,0,74.9,2,0
0,77,24,0,1,0,93.15,2,0
1,70,54,0,0,0,82.45,1,0
1,74,2,0,1,0,70.35,3,0
1,77,21,1,1,0,41.9,1,0
0,71,27,1,1,1,30.75,1,0
0,79,11,0,1,1,19.95,1,0
1,66,55,0,1,1,85.45,1,0
0,77,3,0,1,0,81.35,1,0
1,80,1,0,1,1,75.3,2,0
1,77,5,1,1,0,28.45,2,0
1,77,20,0,0,1,94.1,1,0
1,72,5,0,1,0,74.35,1,0
1,80,27,0,1,0,75.2,1,0
1,74,4,0,1,0,89.2,1,0
1,68,1,0,1,0,85.7,1,0
1,78,65,0,0,0,105.25,1,0
0,75,49,0,1,0,90.05,2,0
0,77,43,0,1,0,110.75,2,0
0,80,56,0,0,0,104.55,1,0
0,75,20,0,0,0,94.55,1,0
1,69,2,0,1,0,89.5,2,0
1,74,8,0,1,1,19.65,2,0
0,76,52,1,1,1,49.15,2,0
0,69,2,0,1,0,49.25,2,0
0,72,33,0,0,0,94.5,3,0
1,69,30,0,1,0,91.7,1,0
0,73,20,0,0,1,98.55,3,0
1,65,46,0,0,0,110,1,0
0,74,7,0,0,0,95.6,3,0
1,65,4,0,1,0,78.85,3,0
1,66,55,0,0,1,100,3,0
0,71,20,0,1,0,73.65,1,0
0,65,9,0,0,0,100.5,1,0
0,69,10,0,1,1,72.85,1,0
0,75,1,0,1,0,73.55,2,0
1,75,3,0,1,0,79.4,1,0
1,68,4,0,0,0,84.6,1,0
0,71,35,0,0,1,99.05,1,0
0,80,2,0,1,0,44.95,2,0
0,66,8,0,0,0,100.3,1,0
0,73,44,1,1,0,30.35,1,0
0,77,62,0,0,0,103.75,1,0
1,76,33,0,1,0,80.6,2,0
1,65,4,0,1,0,94.3,2,0
0,75,27,0,1,0,75.5,1,0
0,75,8,0,0,0,100.6,1,0
1,68,3,0,1,0,88.3,1,0
1,71,8,0,0,0,92.1,1,0
0,74,14,0,0,0,90.45,3,0
0,77,12,1,0,0,43.65,1,0
1,73,13,0,1,0,74.3,1,0
1,68,11,0,1,0,89.7,2,0
0,74,17,0,0,0,100.45,3,0
0,65,39,0,0,0,105.65,3,0
1,73,11,0,0,0,104.05,3,0
1,74,3,0,1,0,80.4,2,0
0,80,21,0,1,0,60.05,1,0
1,76,16,0,1,0,96.15,2,0
1,73,46,0,1,0,95.25,2,0
1,70,68,0,0,0,89.6,1,0
0,75,7,0,1,0,89.5,2,0
0,74,15,0,0,0,85.6,1,0
0,76,16,0,1,0,86.6,3,0
1,75,1,0,1,0,69.25,2,0
1,74,1,1,1,0,25.2,1,0
1,73,13,0,0,0,95.05,1,0
1,69,1,0,1,0,79.2,3,0
1,75,34,0,0,0,94.25,1,0
1,65,4,0,0,0,99.8,1,0
1,77,2,0,0,0,93.85,3,0
0,67,9,0,1,0,84.4,2,0
1,78,5,0,1,0,75.55,1,0
0,65,22,0,0,1,96.7,1,0
0,74,19,0,1,0,88.2,1,0
0,70,15,0,1,0,75.65,3,0
0,69,1,0,1,0,74.7,1,0
1,76,1,1,1,1,25.8,1,0
0,71,10,0,0,0,95.35,1,0
1,76,3,0,1,1,45,3,0
0,77,12,0,1,0,80.45,2,0
0,74,2,0,1,0,74.7,2,0
0,77,1,0,1,1,88.8,1,0
0,76,13,0,0,0,89.05,1,0
1,77,23,0,1,0,94.75,2,0
1,80,17,0,1,0,85.35,1,0
0,68,17,0,1,0,45.05,1,0
1,79,42,0,1,0,84.65,2,0
0,65,1,0,1,0,79.1,3,0
0,68,1,0,1,0,50.15,2,0
1,72,1,0,1,0,69.6,1,0
1,66,41,0,0,0,113.2,1,0
0,68,13,0,0,1,90.5,1,0
0,69,32,0,0,0,85,1,0
0,76,32,0,0,0,85.3,1,0
0,70,57,1,1,0,44.85,2,0
0,71,1,0,1,0,45.1,2,0
0,75,1,1,0,0,43.3,3,0
1,67,38,0,1,0,57.15,1,0
1,65,35,0,1,0,100.5,1,0
1,80,1,0,1,0,45.1,1,0
0,71,30,0,1,0,50.4,3,0
1,70,5,0,0,0,78.95,3,0
0,73,1,0,0,0,93.55,1,0
0,78,58,0,0,0,108.85,1,0
1,76,16,0,1,0,84.75,2,0
1,73,1,0,1,1,69.95,2,0
1,68,5,0,1,1,81,1,0
0,79,21,0,0,0,96.8,1,0
1,67,43,0,0,0,108.15,1,0
1,69,32,0,0,0,93.2,3,0
1,72,1,0,1,0,70.55,3,0
0,75,29,0,0,1,98.5,3,0
0,67,13,0,0,0,95.25,1,0
0,72,7,0,1,0,74.4,3,0
1,68,2,0,0,0,88.55,1,0
1,68,1,0,0,0,91.3,3,0
0,75,7,0,1,0,70.1,2,0
0,74,57,0,1,0,95.25,2,0
1,78,1,0,0,0,100.8,1,0
0,66,17,0,1,0,76.45,1,0
1,73,3,0,1,0,86.85,2,0
0,79,66,0,0,0,99.5,1,0
0,69,69,0,0,0,108.4,3,0
1,65,15,0,1,1,83.05,3,0
1,68,56,0,0,0,104.75,3,0
1,79,21,0,1,0,94.25,2,0
1,80,1,0,1,0,70.15,2,0
0,77,32,0,1,0,106.35,2,0
1,65,40,0,0,0,94.55,1,0
0,66,2,1,1,0,24.45,3,0
0,75,7,0,1,1,84.8,3,0
1,74,31,0,0,0,99.95,3,0
1,80,14,0,0,0,104.85,1,0
0,74,15,0,1,0,74.2,1,0
0,70,59,0,1,0,93.85,2,0
0,76,46,0,1,0,100.7,1,0
1,72,25,0,0,0,89.7,3,0
1,66,16,0,0,0,96.4,3,0
0,75,1,0,1,1,69.5,2,0
0,65,36,0,1,0,85.25,2,0
0,79,45,0,0,0,62.7,1,0
0,73,25,0,1,0,105.95,2,0
0,79,39,0,0,1,95.65,1,0
1,70,31,0,1,0,98.9,2,0
0,71,3,0,1,0,76.05,1,0
0,69,1,0,1,0,69.75,1,0
1,70,33,0,0,1,110.45,1,0
0,71,7,0,1,0,99.25,2,0
0,67,19,0,1,0,79.85,3,0
